Review,Sentiment
"1st time come here today, staff very friendly & the best thai cuisine here, love pancake here..very recommended if want to chill out enjoy meal here..",1
The food are delicious and the staffs are friendly. Would definitely recommend friends to come here!,1
Found the gems in town. The best Thai fusion cuisine.,1
"Coconut shake best gile...
Boss smart gile....
Food sedap gila....",1
Memang terbaik… sedap… rekemen sgt2,1
datang harini confirm esok nak datang lagi. Terbawa bawa mimpi,1
sdap sngat mknan dkat sini . serve tiptop.,1
"Sedak weyh ! Service tip top la , pahni nok repeat lagi ",1
Makanan semua best .. harga pon berptutan .. dessert pon sedap,1
Slow service and expensive. Its not worthy for having dinner here as services very slow and the food very tasteless,0
Very slow service. Serving is very small like a small bowl of tomyam for a set for 4 people. Not worth the trip. Notice many patrons left after waiting for too long.,0
"Mahal
X sedap
Service slow
Amat kecewa",0
sesuai bawa keluarga sambil nikmati makan dan anak dapat bermain.Siap ada surau..,1
"Semua menu sedap. Harga mesra poket mesra rakyat. Ikan bakar bumbu memang terbaik. Hot plate syahdu..Kerapu & siakap fresh! Sotong saltes egg memang ngam. Pekerja sentiasa senyum bila hantar pesanan. yang best Suasana d'Suasane ni unik dan sgat healing. Wajib datang bila bertandang di Kuala Terengganu. Bukan sembang, u guys wajib cuba! Tahniah!",1
makanan sedap tempat lawo,1
"pekerja org yg pelupa.sgt lambat..tak sedap
...mahal..",0
Makanan sedap 👍🏻 Cuma lambat la sikit Sbb harini full cuti sekolah . Apa2 pnn trbaik bleh bagi 6star😁❤️👍🏻👍🏻👍🏻👍🏻,1
Sy telefon utk buat tempahan pun payah..x angkat2 call..payah nk berurusan,0
"Order by telephone..lagi setengah jam sampai..sampai2 makanan terus ada atas meja..servis terbaik..",1
"Sedap buburnya , roti steam dan paling hot miang pla pao sgt sedap garing ramgup . Kedai bersih service cepat dan plg penting harga sangatt berpatutan. 
Half n hour fr Kuala Terenganu . 
Recommended to all",1
Terbaik dan sedap2 makanan di sini.,1
tomyam n roti kukus sooo delicious..must try it,1
Ni la kedai nasi daging air asam tu..owner dye mohd paijjan..boleh intai wall dye tgk mkanan yer...mmg sdp2 blake,1
highly recomended... sangat2 berbaloiii.. dgn tokey yg baikhati dan pemuroh... ,1
very high recommended. layanan terbaik.. fast respon whatsapp. tempah dulu pergi kedai terus makan.. terbaik. makanan sedap2. harga murah2..,1
Semua makanan kt sini sedappppp sangat recommended nak pergi makan keluarga.pelbagai pilihan menu adaa.memang puas hati sangat,1
ikan bakar terbaikkkkkkkkk,1
Mknan kt cpn sdap sngat Dan rmai org suka,1
fast delivery..sedap servis cepat,1
Sedap,1
Memang best masakkannye...kena nge selera sy..cpt pulok tue..tmpt pn selesa..terbaiklh...,1
Good.....,1
Mmg owesome pengat2..manis lemok mmg ckp rase. Ambe xsuka mane ikan kakap stim tp hr tu try kakap stim limau...mmg terbaaeekkkkk...sdp,1
Tempat strategik.hrga ok.Lyanan ok.makanan best.parking ok. em pesanan je lambat skit smpai (sb pelanggan ramai),1
"Cik Nurul bagi 5 bintang,,, blnje cik nurul air jagung blnded...ha3",1
"Good customer service, nice food and reasonable price.",1
"servis, sangat2 la lembab",0
Minyak masakan sinplr alasan mcm haram.baik ckp xde mknn.sng.,0
Shawarma kambing 💯memang alhamdulillah,1
Shawarma kambing dgn lobster best,1
Alhamdulillah Sedak puas hati makan shawarma lobster,1
Shawarma memang sedak lepasni conform repeat,1
Puah hati malang sini. nasi Shawarma kambing sedap boh buleh r repeat pahni,1
Makanan sedap jadi buleh r mari pulok puas hati,1
"makanan sedap, walaupun lambat sikit sbb ramai org tapi berbaloi ",1
Tempat santai  sambil menikmati pemandangan padang ..makanan pun sedap got kenela dengan tekok buleh mari lagi,1
Hmm..agak kecewa dengan pengurusan kedai ni..keluarga mertua sy dtg dr Kuantan utk family day di dungun pd sabtu lepas 12/6/2022..sblm nok mari kami survey la kt mne tempat nk dinner..survey2 jumpela kedai ni..katenye viral dgn menu sharwama lobster kambing dsb..so adik ipar book la nk makan sini..semua excited nok makan sini n semua oda menu lobster dgn kambing sharwama tu..hari kami sapa di dungun tu adik ipar Call lagi nk soheh ngn tuan kedai nk g dinner mlm ni eh kul lapang malam tuan kedai kate bereh2..kul lapang kami marila nok makan..masa masuk keda tu pelik gok bakpe xdok pun reserved table..rupa2nya..hok tukang amik booking tu xdok (x tahulah sengaja lari ke guana) n dia xkabo pun yg kami dh buat tempahan utk makan kt ctu..pahtu doh la kene order semula..pahtu menu2 hak2 viral lobster semua tu xdok belaka..xpela redho dok leh makan lobster.kami order lain la ikan3 epilog2 tu ..sekali servis bapok la slow..dok tahu bakpe yg slownye servis..padahal xdok org mne pun masa tu..pekerja pun napok ramai kt dapur time tu..🤷🏻‍♀️..sayang r wak gini .suasana kedai tu ok dh..tp wat main2 gini..klo xdok kabo siap2 xdok..kami ni mari jauh2..sy dr KL turun dungun..kami booking siap2 sbb keluarga kami rama anok kecik..nok mudoh mari makan je..xyh tunggu lama2..kpd hok amik booking tu..klo rase boleh maju dgn scam org gini..teruskanlah ye..n sorry to say rasa mknn pun biasa2 je..takat boleh telan jela .sekian terima kasih,0
"tomyam udang galah terbaik memang jadi r Kene Pulok dgn ikan epilog",1
makan okay sedap alhamdulillah masakan menu shawarma terbaik,1
"Hak hak. Klu siapa rasa nk kena potong dtg la sini. Xdok price tag atas menu. Tnyo playan harga pahtu jwb dol sure. Udang harimau 100g RM14, sotong RM12. Harga ikan pon mahal lg drpd harga pasaran. Lg2 la dkt kg.",0
tempat lawo tp makanan agak kecewa dr segi rasa.hrp tuan tanoh blh improve lg sbb king crab hlg rasa bl gabung ngan rempah tu dan ada rs kearah pahit.sos pedas pon hrp tuan tanah bt posmotem balik.jgn maroh tuan tanoh review jujur ambe bg ni.ambe komen psl king crab je hok lain ambe x mkn jd no komen la😅,1
sdp jgk mknan kt sini...nanti mri semula dgn ank2...hrga dok ah mcm Langkawi nung....,1
Makanan sedap tempat menarik,1
Rasa makanan ok..tempat lawo..👍🏻.tapi servis agak slow..saya mari dulu tapi org hok mari kedian dpt order dulu..myb boleh improve dgn tambah staff & bagi specific keje pd staff..semoga terus maju jaya,0
AAA layanan..makanan sedap Dan harga berpatutan..rekomen sangat2 utk datang sini👍,1
"Customer service need to improve. When we order seafood waitress /waiter always said can order but need to wait for long hours.
Then we order western as per suggested still need to wait about 2hrs to get only for chicken chop & spaghetti meatball, plus 2 cup of juices need to wait about 1hrs after we follow up at their kitchen.
We come far from KL just to try their famous cuisine unfortunately this is what we get.
In this case I will not recommended your esteemed restaurant to my fellow friends & families.
Sorry for my bad review but this is my  experience and hopefully no one feels same bad experience as my situation.
Please improve your service for better quality and customer always right.",0
Very bad customer service,0
very poor services.....slow lg dr slow motion ....,0
tea ping bukuh dap.haluss,1
sloww sloww sgt.....10/100,0
"Makanan sedap,service laju jerr 😍 datang pun time tak ramai pelanggan jam 7.30pm kira okey . Recommended bg yg bercuti jauh.😊",1
makanan terbaik..sedap n berbaloi dgn wang anda,1
alhamdulillah ok jer services,1
"servis lambat , tgu air dkt 20 mnit pdhl org dk ramai pun . tgu mkn plk 30 mnit dk smpai sbb dk masok lg . lmbt kbo lmbt jgn snyp gitu je . jeng",0
"Makan so good😎
Mungkin kena sedikit pnambahbaikan😊
Tambah blgan pekerja utk servis tip top Dan adakan menu sampingan semasa menunggu menu utama... Utk hilang rase boring menungggu🤗🤗🤗
Moga trs Maju Jaya👌😊",1
"gi kedai xdok org layan.. 10 min tunggu, kerusi xdok, meja xkemas ada sisa... harap boleh improve lagi dari segi servis. kdai comey dh sbnrnya. klu improve servis inshaAllah blh g jauh.",0
"lembab, order ikan 2 ekor, dapat 1 je, sotong hilang tah kemane.. nasi kurang satu, tggu sejam xsampai2, org rmh dtg ambik sendiri.. meja sebelah sampai nk ngamok xsampai2..",0
Terbaikk..western padu teruk bosku..xleh tidor ambe..teringat..,1
"Oder bihun seafoos dgn nasi goreng sotong...smpi dua2 skali tp nasi goreng sejuk doh...bihun molek ade je panas...bila nok bayor, duit halus tkdok...siap tny kita nok tggu ke dop...patut owner kena standby sokmo lah duit halus...bukan keje customer nok gi cari duit halus...",0
Lambat. Ikan x fresh. Sisik ikan x buang betul2. Harga ikan punya mahal. X payah datang la kat sini. Really sucks,0
"service lambat.. order menu lain, sampai menu lain.. hahaha...kate 15minit siap tp sejam😒 lain kali kalau lambat kbo lambat yer🙃",0
"sgt slow....tunggu sejam lebih... dpt mknan hampess... daging masak merah + lalat.
very poooorrr sgt kedai besar n cantik",0
ikan tak masak .. mahal .. tomyam tawar ..,0
"Servis teruk.. Order tomyam campur, smpai2 tomyam kuah putih. Pdhal x bgtau pun nak yg kuah putih. Pastu bungkus nasi grg ayam kunyit. Siap pesan berkali2 tak nak pedas lgsg sbb anak mmg xleh mkn pedas. Dh la mula2 smpai dlm pinggan. Pastu baru bwk pegi bungkus semula. Balik umah suap anak mkn.. Anak kata pedas. Bila cuba rasa, mmg pedas pun..
Mende simple camni pun x leh nak ikut khendak cust. 1st & last dtg sini.",0
"Berat sangat boss, order chicken chop 2 set. dekat sejam nunggu.
air je sampai awal.
 chicken chop sampai, air tinggal ais je dlm gelas. Pelanggan hanya 8 org termasuk kami 2 org. Jeng boss",0
Perlu dipercepatkan servis.Alert pada setiap pesanan.SEJUK DUA EKOR ANAK IKAN KEMBUNG SAYA..baru sampai ke meja..Mudah mudahan maju.,0
"Makanan okay, tapi servis sangat lambat. Tunggu almost sejam, still ada makanan yang tak sampai. End up minta bungkus je. Plus, takde sorang pun minta maaf, mengecewakan sangat servis.",0
services tersangat2 slow..dkt sejam setangah tggu xsmpai lg mskan.susunan meja mane sampai&order dlu berterabur.meja kiri knan aku yg smpai lewat dpt dlu mknan dr meja aku,0
"kedai kemah kali boh, ambe nop rase masakan pior thai,. jadi molek . sedap 5 🌟",1
"First time tapi sedap bossa , ikan siakap 3 rasa 
Mmg sdp molek , semoga maju jaye",1
"kali ke 2 makan kat sini, ikan siakap 3 rasa mmg sdp, sy try western talang
boleh mkn ramai2 mmg jimat duit, kedai bos lawa cantik, 5 star👍👍",1
"sy dan family mkn dekat cahaya rezeki signature 
western dan ikan bakar mmg padu habis bos, satu lagi kedai bos sgt cantik dan nampak moden ,paling lawa di terengganu  yg oernh sy pergi mkn ,kemas boss",1
"1st time mari sini,try siakap bakar...mmg power bos,campur ngn tomyam seafood...rasa lamb chop pom sedap,bini ajok mari pulok lepas nie...tp hajat nk try ajok bini nom 2 plok try lepas nie...terbaik bos,suasana kedai,ngn lampu banyak,mmg meriah,INSHAALLAH,lepas nie dtg lg...TERBAIK!!!👍👍👍",1
"repet yg ke 5, cha kuew teow udng tu dia. mmg A ,geng moto mesti maghi sokmo❤️❤️kdai cantik bossss",1
"well done cahaya rezeki signature, saya datang satu family , mknan panas semua sedap rata2 puji dan western di restaurant tuan sgt terbaik dan saya pasti dtg lagi terbaik",1
"Saya datang dari Kota Bharu, Klate ke restoran ni. Memang kedai cantik, sesuai utk buat reunion, majlis dgn kwn2 utk ambil gambar mmg cantik sbb cerah dan kreatif.
Makananan sy order roti garlic dan mushroom soup, mmg sedap saya suka. Main course, sy order chicken chop.. besar n puas hati.. air pun gelas besar... xperu order bnyk kali. Lps tu jumpa pulak owner yg ramah & mesra.
Keep it up and all the best utk kedai ni ❤️",0
"kali ke 4 mari cahaya rezeki signature, tomyam dengan sup tulang pior thai ,mcm mkn di hatyai ,kdai lawa bnyak lampu ,semoga lbh mju",1
"sedapnye chiken chop dkt sini, mmg terbaik ,kdai lawaaaaa laaaaa",1
terbaik masakan dn kdai ni harga pum murah2 nnti p semula rapid terbaikk,1
western xwape nk jd.. mkn bege talang .. tgk gmbr dlm menu comel.. pdhl y dpt patty ramly .. roti lama.. drpd lama nunggu ingt dapat homemade patty . tp kedai comel.  mybe kena upgrade menu lg baru boleh letak hege tu..,0
"Western Food failed. Complain kt cashier dpt roti lama, tp x terima kritikan/suggestion drpd customer apatah lagi nk say sorry🤭.. Ni 1st and last mari makan. 😬😬😬.. tp kedai cantik👍🏼👍🏼👍🏼",0
Slow. Makanan lambat sampai tapi kedai memang comel ,0
"Slow giler service ,
3 kali kene , kali pertama kene makanan smpai tapi air x smpai , makanan abis pun xsmpai2 lg air.. bila tanya snyap.. 
malam ni kene lagi , makanan x smpai2. 1jam x smpai2.",0
"servis fail..sy order set A (Nasi putih,tomyam,kailan ikn masin, telur dadar,jus epal),fries, sotong namprik pau..Bygkan order pukul 9.15, mknan sampai pukul 10.25.. tu pon tomyam x sampai2.. pukul 10,lauk je sampai.. nasi 15minit kemudian baru sampai.. Conlusionnya, servis fail... tlg perbaiki servis anda ye..Tq",0
"Terlampau slow service, mknan mngambil masa terlalu lama untuk smpai.",0
Semua makanan sedap boss 👍🏻,1
first time makan kat ctu td....air buah pom tgal epel Jew....makan sotong celup tepung td ...knp laa banyak sangat tepung...sampai anak sotong jadinya....tepung Jew banyak ....,1
"Makanan Okay.. cuma servis sangat slow.. perlu perbaiki lagi.. , waiter yg pakai mask asyik lupa nombo di meja.. kuca kacir jadinya..",0
"Okaylah... price affordable, fast service!",1
Terbaik.....,1
dishes of local Terengganu is a must to try,1
"Sedap makanan dia wehh!! Bersih pun bersih!! Ehh memang bersihlah dapur dia! Makanan pun lambat basi akibat kebersihannyer. Sekarang nie buat bungkus jer! Ada Nasi Lemak, Nasi Ayam, Nasi Berlauk, Roti Canai, Sandwiches!! Haa masukkk!!!",1
"Makanan yang terbaik... Murtabak, nasi beriani bulan puasa marbelesss... Nasi ayam , rojak ayam legend mmg kene ngn selera... burger pun sedap...",1
makan yang sedap ber kuality harga sepatutan,1
ber konsgsi menu Yang sedap2,1
"Good  food good service , highly recommended",1
"service terbaik dn ,layanan ",1
Had the fresh oysters. Absolutely delicious ,1
"Good and prompt respond from staff, nice place to have a delicious meal",1
The food so good with acceptable price. Simple and elegent deco create peace of mind & comfortable enviroment to dine in.,1
"This restaurant indeed provide a great services. The staffs are attentive, friendly, and devoted to the customers. The staffs here are the best. This restaurant always clean and neat because of their hardworking staffs. The seatings are comfy too. There are nearby car parks that are easily accessible. My favorite dishes are lamb chop, garlic breads and mushroom soup. You should try their juice creations. They’re all taste great. I highly recommend this restaurant to anyone wh… See more",1
Terbaik. Layanan yang sangat istimewa dan tip top.,1
"Good food, reasonable price and friendly staff",1
nice food n place..will come again!!,1
Servis n layanan mantap..,1
"Good Food, responsive and fast staff/serving",1
Best....staff pun.sporting,1
... friendly...speechless...recomended..value for money,1
Awesome food and very friendly and attentive staffs....will definitely return for more ,1
Texas Nachos is the BEST. Worth the price. Other food also good & tasty. My 3 year old son finished his aglio olio. But overall the portion was a bit small for the price I guess. Will be back for the nachos & burger next time ,1
I give you five stars hohoho i like it .. so delicious food so friendly the best western food ever,1
Nice.....................,1
"Menu - menu semua best.
Western food memang sedap sangat.",1
"Carbonara, aglio olio, lamb chop the most i love to eat here",1
Kipidap..... looking 4 Western Food? It's the right pit stop!,1
"kedai cantik, staff sgt frenly, nachos die sgt sedap.. overall best tempat tuk lepak2.. ",1
"betul² serius bab western. .. love it ! chicken grill ada rasa smokey,ada kesan grill, oyster fresh xde bau hanyir ,spaghetti pon sedap sos bolognese dia, fries and potato wedges really crispy tak lembik ..suhu yg tepat.. . owner pon peramah suka borak2 tanya customer apa yg ok n x ok.. dh mcm service rancangan Restaurant Impossible by Robert Irvine 😃😃  harap boleh tambah menu western lain dari yg lain dari kedai² western lain. . really recommend",1
tempat yang menarik dan lawa,1
terbaikkkk 👍🏼👍🏼 tempat cantik.. makanan sedap.. will definately repeat again.. 😊,1
bgs d tbaik hrga pun mesra rakyat..tp xleh mkn ari2 kalesrrol tggi kiki,1
"maaf sy terjujur,.. oder lamb chop oder 3. 3tu sume hangit kambing liat ,nk xnk kne mkn jgk .. semga chef perbaiki lagi ye.. trm kaseh🥰",0
Satu pilihan yang lain dari yang lain tapi masih kekal ciri~ ciri ketimuran..,1
"Staff yang sangat ramah dan sopan, menu yang variety dengan harga yang murah. Kedai hipster dengan kualiti makanan yang terbaik.",1
sphageti carbonara terbaik..bos&staff yg sgt peramah&happy servis pun cepat 5,1
terbaikk... lamb grill padu.. berbaloi dgn harga.. xpernah xpaduu,1
Bru lpas test mkn kt sini ngn fmly..dia punya taxes nachos mmg best..potion pun byk..mmg xabis mkn sorang..grilled chicken n mushroom soup pun best..ibarat kata..smua sedap..xrugi dtg..cuma xde rezeki nk test pasta..sbb dh abis katenya..minuman juice n milkshake pun sedapp..so sape yg blum dtg moh laa ke taxes..sy pasti dtg semula..kempunan nk mkn aglio olio..���,1
ok ngam.. baru je lpas dinner kat sini.. menu pon best ..sedap... inshaallah akn repeat kalau ade rezki trun ganu lagi... #padu,1
good !!!! ,1
"best food..5star...best manager...ada sokmo menu baru...cekap,ramah,spooting....all staff di texas station..next ..nk try burger kebaboom plokkk..������",1
Best restoran in the town .. semua sedap n crews mmg polite ...,1
Oreo and mango cheese cakes terbaik . Hahahahahahhahaaha makang nok sokmo pahtu .,1
Spaggeti olio aglio paling swesome di kemaman...wallah.,1
Best n sedap sngat.........,1
Saya dah cuba....terbaik,1
"Bru 2,3 hari lps dtg cni..ada a few things yg x puas hati..1st,psl reservation,dh bgthu nk reserve pkul 9 mlm then dpt call mtk dtg lmbt skit sbb mse tu dimaklumkan rmai org..spatutnya ble org dh reserve,kne utamakn lah..knp perlu mtk dtg lmbt plak?
2nd,ble dh dtg,tny psl reservation,mcm blur2 plak..3rd,order plak lmbt smpai..hampir 1jam setengah,bru mknn smpai..customer yg dtg lewat dr kami plak yg dpt dlu..patutnya 1st come 1st serve la..ble tny knp lmbt,alasan mcm x logik je..btw,makanan mmg sdap,tp ble dh kne mcm ni,mood nk mkn pn dh xde..harap pihak texas amik perhatian la psl komen ni..keep it up..",0
Salam 🙂 admin..kalo boleh..mintak tolong upload menu..nak jugak usha2 n tengok harga..baru bule budget..xsabar nak pegi..insyaAllah minggu dpn baru ade ms tluang,1
"A relaxing cafe that has a special take on local cuisines and a unique style on westerns cuisines, foods to die for is Garlic Butter Rice served with Grill Chicken,Nasi Ayam Penyet,as well as Salted Egg Pasta. Super recommended to try their drinks which i could confidently says on par or better than Starbucks, Milo Ice Blended, Nutty Biscoff, Cinnamon Dolce Latte and Affogato is a must try.
Overall 9.75/10",1
"Banyak kali dah singgah, quite astonishing.
Food: 8/10
Coffee & Frappe: 9/10
Ambience: 7/10
Average: 0.8/1.0
Kepada yang belum cuba can try first!",1
"Syukur, 1st TIME pergi berbuka puasa kat DABOYA, bawak kawan opis, Alhamdulillah semua SEDAPPPP SUPER SEDAP. SAYA ORDER SPAGHETTI OGLIO OLIO, NASI AYAM PENYET, CHICKEN GRILL, SEDAP SGT YA ALLAH. AIR MILO BLEND DIA SGT RECOMMENDED, AIR JUS LEMON TU PUN SEDAP, INSHAALLAH XNYESAL. KENA DELERA.",1
Aku ni jenis cerewet bab makan tapi bila dtg kedai ni mmg kena dengan tekak aku.. tak tahu kenapa tapi masakan dia memang sedap la. korang patut try mmg recommended 👍👍 #UdangButterCremy torbaik 😋,1
tak rugi singgah makan kt sini,1
Selera @ selesa . Pilihan yang tepat bersih cepat services ★★★★★,1
Alhamdulillah the food is delicious & good service �,1
had lunch with my family last week. love the flavors. good service!,1
"Good food!
Great service!",1
Terbaik and sedap sangat �,1
Restoran kegemaran keluarga saya,1
Nasi arab sedap dan murah,1
"Suasana nyaman,sesuai utk fmly dan ank².pelbagai mknn yg sdp..",1
"Not recommended.. 
Not recommended..
Not recommended.. 
Not recommended.. 
Not recommended.. 
Not recommended.. 
Not recommended..",0
Tempat makan sangat tenang dan makanan semua sedaaaap,1
"Cute ice cubes🧸.. friendly waitress.. just wish it has bigger surau, separated between muslim and muslimah customers..",1
"superb!!! Good food, friendly and  helpful staff, affordable prices 🥰👍",1
order buttermilk tiger prawn. telur masin habis agaknya dia ganti telur rebus 👎,0
"ood sedap. Nice Restaurant. Ada bilik Solat bersih, blh ambik wuduk dlm tu.. tak perlu kluar ke toilet. Terbaik. wpun kecik, sbb faham building tu dibuat mmg khas utk perniagaan.",1
ambil masa yg lama untuk mkanan sampai.dari segi rasa mknan perlu diperbaiki lagi. peanut butter shake jer yg sedap.,1
"good atmosphere... nice service and food,",1
terbaik.. suasana makan yang menyenangkan. makanan sedap 😋😋,1
makanan sedap 😋 layanan memuaskan 👍,1
Great food. Fresh prawns and ikan.. pls come and try yourself.,1
"1. Menu banyak pilihan.
2. Makanannya sedap.
3. Layanan dan servis sangat bagus.
4. Sangat selesa.
5. Parking senang.",1
makanan paling sedap 👍 services tiptop 💕 kalahh hotel 5 bintangg 🤩🤩saya bagi 10 bintangg ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,1
menu yg di hidangkan tadi..sedap,1
makanan sedap.. menu lain dari yang lain.. recomended!,1
Affordable. Bersih dan menarik,1
 terbaik orang muda,1
"Makanan sedap , ada ruang privacy untuk keluarga ramai yang riuh rendah bisingnya🥱.. tak mengganggu cust lain.",1
"first time try mlm td...fuhhhh..semua menu sedap2 blake..serius wey, tomyam putih/merah, prawn butter, prawn salted egg, daging monggol (superb!), sayur campur, chicken lemon, ikan tiga rasa, ikan sweet sour..blh repeat lg ni 🥰🥰",1
Wajib try makanan dekat sini !!!! Semua sedap2 menepati citarasaa 🤤 layanan staff pun semuaa baik2 😘👍👍👍👍👍,1
makanan sedap.. wajib try 😃,1
menu sedap2 belaka.. pasni nk ajk family beso g mkn plak.. ank hok sulong siap pesan pasni blhlah wat besday dia kat dlm ruangan dlm bkaca tu pulak..,1
"tutup ke gane restoran ni? WhatsApp dok balas, panggilan dok angkat",0
Reply wasap customer yg nak booking..jgn diam je..,0
"Makanan sedap..portion pn byk..sy order udg kamheong,ayam portuguese,red tomyam n mix vege semuanyer sedap..berbaloi dgn harga..sgt recommended ",1
ikan siakap stim ala nyonya sangat best dan you all boleh try memang X menghampakan ,1
